iter	Logloss
0	0.6906346555
1	0.6874127448
2	0.6839579144
3	0.6809426607
4	0.6773721746
5	0.6752531563
6	0.6730865067
7	0.6699902984
8	0.6676219766
9	0.6661606255
10	0.6642855072
11	0.6637338379
12	0.6618250852
13	0.6603662021
14	0.6578613778
15	0.6559408145
16	0.6538367567
17	0.6520170217
18	0.6496851533
19	0.6483299999
20	0.6466808517
21	0.6447694466
22	0.6427038547
23	0.6411839246
24	0.6394615886
25	0.6374844314
26	0.6359665876
27	0.6339545652
28	0.6329975812
29	0.6316919478
30	0.6301844288
31	0.6284420791
32	0.6265537759
33	0.6257851433
34	0.6243799351
35	0.6233260058
36	0.6219558447
37	0.6207483399
38	0.6185224903
39	0.6172414182
40	0.6162888948
41	0.6149476073
42	0.6138498861
43	0.6127763002
44	0.6116933105
45	0.6103503864
46	0.609157247
47	0.607879172
48	0.6066532527
49	0.6055624547
50	0.6043783985
51	0.6025219044
52	0.6013589963
53	0.5999455388
54	0.5982753889
55	0.5970219329
56	0.5958458599
57	0.5942800773
58	0.5926757194
59	0.5914088194
60	0.5906103297
61	0.5897638983
62	0.5881219252
63	0.5873665336
64	0.5857848341
65	0.5849430831
66	0.5837929717
67	0.5832547298
68	0.5816733486
69	0.5810138239
70	0.5803211734
71	0.5795762145
72	0.5787677404
73	0.5781583336
74	0.5772141203
75	0.5761955623
76	0.575191165
77	0.5739035258
78	0.5729527213
79	0.5709737985
80	0.5699968913
81	0.5687505809
82	0.5678283899
83	0.5667349008
84	0.564951701
85	0.5640291305
86	0.563149783
87	0.5619576386
88	0.5607575575
89	0.5604548522
90	0.5598828199
91	0.5586412271
92	0.5572427183
93	0.5568621058
94	0.555930093
95	0.5550058294
96	0.5540117057
97	0.553248543
98	0.5524697115
99	0.5514279977
100	0.549976602
101	0.5487127444
102	0.5477275731
103	0.5470728905
104	0.5448567096
105	0.5436305087
106	0.5423183627
107	0.5420198659
108	0.5404084064
109	0.5399804713
110	0.5393955862
111	0.5389722905
112	0.5382551369
113	0.5376933607
114	0.5367742183
115	0.5358085526
116	0.5344612543
117	0.5326942391
118	0.5318353518
119	0.5308977019
120	0.5299764717
121	0.5289745358
122	0.5280055326
123	0.5268633865
124	0.5265794736
125	0.5248142173
126	0.5232982886
127	0.5223337001
128	0.5218497212
129	0.5210339662
130	0.5198914792
131	0.5191255947
132	0.5183748205
133	0.5171505973
134	0.5156632625
135	0.5146989265
136	0.5134940875
137	0.5126763158
138	0.5118790764
139	0.5101431168
140	0.5091933499
141	0.5077498974
142	0.5060214419
143	0.5048488307
144	0.50353797
145	0.5023816151
146	0.5000001859
147	0.4983208279
148	0.496475795
149	0.4955271256
150	0.4942963815
151	0.4936731276
152	0.4924814005
153	0.4913052973
154	0.4901003496
155	0.4891078893
156	0.4875533712
157	0.4864790002
158	0.4853234797
159	0.4837986253
160	0.4832323587
161	0.4820830536
162	0.4808026729
163	0.4796812703
164	0.4782696936
165	0.4767880652
166	0.4752841078
167	0.4736653274
168	0.4722781617
169	0.4714923346
170	0.4702048048
171	0.4692095278
172	0.4680310555
173	0.4671889328
174	0.4663057834
175	0.4653854155
176	0.4639882748
177	0.4627866278
178	0.4612253888
179	0.4593621289
180	0.4579603886
181	0.4569111635
182	0.4553010874
183	0.4541004762
184	0.4533219382
185	0.4523921374
186	0.4507148152
187	0.4493929081
188	0.4483160259
189	0.4462630528
190	0.4449712929
191	0.4431856016
192	0.4418210679
193	0.4400168625
194	0.4391193747
195	0.4383518027
196	0.4367957294
197	0.4359735764
198	0.4349928147
199	0.4340752936
200	0.4327620652
201	0.431642771
202	0.4309344881
203	0.4301622703
204	0.4287910709
205	0.4276297601
206	0.4254277852
207	0.4243092164
208	0.4230918137
209	0.4213983321
210	0.4199743961
211	0.4177390018
212	0.4173099734
213	0.4160612108
214	0.4152183901
215	0.41407974
216	0.4131708252
217	0.4124223635
218	0.4110717555
219	0.4102460944
220	0.409449275
221	0.4080238592
222	0.4070382215
223	0.4061878641
224	0.4046432868
225	0.4027155799
226	0.4006031054
227	0.3998586734
228	0.3982418832
229	0.397405759
230	0.3966854829
231	0.3950070812
232	0.3939852348
233	0.392974758
234	0.3922342681
235	0.3909569628
236	0.3902296585
237	0.389129306
238	0.3881350603
239	0.3872048179
240	0.3864329326
241	0.3853310805
242	0.3833416505
243	0.3827923534
244	0.3817744173
245	0.3815109432
246	0.3810417232
247	0.3796706632
248	0.3785388814
249	0.3781452107
250	0.3772886952
251	0.376876846
252	0.3761784299
253	0.3752985626
254	0.3743599926
255	0.3732430514
256	0.3724896664
257	0.371675428
258	0.3704778838
259	0.3680483081
260	0.3668651899
261	0.3659155698
262	0.3650984831
263	0.3641089737
264	0.3632116192
265	0.3625609736
266	0.361333782
267	0.3611414352
268	0.360790602
269	0.3602525996
270	0.3585185418
271	0.3578158658
272	0.3570783892
273	0.356550764
274	0.3555843404
275	0.3541727142
276	0.3530972095
277	0.3525358526
278	0.3518315799
279	0.3506050627
280	0.3498410117
281	0.3489068166
282	0.3478858286
283	0.3464381584
284	0.3452698837
285	0.3434301273
286	0.3422290651
287	0.3412284859
288	0.339963668
289	0.3392398776
290	0.3384705912
291	0.3376132935
292	0.3370623343
293	0.3361357001
294	0.3348214976
295	0.3338122054
296	0.3329061534
297	0.332339385
298	0.3313732496
299	0.3304990065
