iter	Passed	Remaining
0	742	221875
1	1693	252314
2	2513	248824
3	3241	239877
4	3999	235964
5	4632	226970
6	5122	214423
7	5624	205283
8	6214	200947
9	6564	190384
10	6892	181072
11	7180	172333
12	7458	164657
13	7761	158566
14	8013	152249
15	8428	149597
16	8756	145762
17	9203	144193
18	9575	141614
19	9919	138870
20	10221	135804
21	10604	134000
22	10874	130965
23	11081	127442
24	11286	124151
25	11509	121290
26	11710	118409
27	11892	115530
28	12112	113191
29	12289	110608
30	12530	108729
31	12795	107166
32	13116	106122
33	13372	104622
34	13721	103890
35	13952	102315
36	14279	101500
37	14474	99796
38	14657	98095
39	15081	98027
40	15313	96736
41	15511	95282
42	15696	93811
43	15876	92374
44	16068	91056
45	16245	89703
46	16447	88535
47	16666	87497
48	16871	86424
49	17094	85470
50	17272	84331
51	17488	83406
52	17691	82450
53	18060	82273
54	18328	81645
55	18559	80865
56	18948	80780
57	19246	80306
58	19670	80348
59	19949	79799
60	20206	79170
	19510	74895
62	19748	74291
63	19964	73620
64	20183	72971
411
66	19721	68584
67	19923	67975
68	20157	67484
