,CV_Accuracy,CV_Accuracy_Std,CV_F1,CV_F1_Std,Test_Accuracy,Test_F1,ROC_AUC
Optimized_RandomForest,0.745086440185181,0.008409607112690445,0.748934971937514,0.008582193143969371,0.47058823529411764,0.26157688410652835,0.5404720933125781
ExtraTrees,0.7472685050581859,0.006899449620977677,0.7501064114325249,0.00638214239676705,0.44880174291938996,0.2366993161292691,0.5269684197380093
Voting_Ensemble,0.7469949082667978,0.005954890118294158,0.751602540866182,0.006199566660217449,0.44880174291938996,0.23896967071391445,0.5343283835170298
Stacking_Ensemble,0.7505375021432992,0.016064630361955896,0.7531925772719982,0.01598581355452211,0.44880174291938996,0.27930406294969534,0.5481303796166127
Optimized_CatBoost,0.7213360767562007,0.014278106584753137,0.7243491483923279,0.013969303908298595,0.4466230936819172,0.24859943977591037,0.521663654902184
Optimized_XGBoost,0.7136999679437002,0.009415177072487653,0.71850902349077,0.008611756770706715,0.4444444444444444,0.25518707482993197,0.5363927509282695
GradientBoosting,0.7096075712507176,0.004039156175181478,0.7129169844111847,0.005217160262563159,0.4400871459694989,0.2720812678820946,0.5343434024372502
Optimized_LightGBM,0.6965047450778671,0.011285129928965066,0.7003970876081211,0.010722924006055892,0.4226579520697168,0.2497874200551546,0.5342756217239748
Logistic_Regression,0.2838410156628572,0.01652145917837656,0.27745277521216516,0.016318995124115894,0.289760348583878,0.26611365474048654,0.5393270958346895
Neural_Network,0.38756923788010944,0.047410901390218876,0.3828132420436564,0.05059675731664499,0.2047930283224401,0.2001262930947805,0.513237931634336
SVM_RBF,0.25327645203855703,0.003609951034130809,0.11696148520661069,0.0072567673673968386,0.15468409586056645,0.06787762906309751,0.5405551922522858
