Feature,F_Score,MI_Score,Selected_by_Variance,Selected_by_F,Selected_by_MI,Selected_by_XGB,Selected_by_RFE,Total_Selections
Total WBC count(/cumm),2.0461090979126317,0.043292685490829985,True,True,True,True,True,5
Both_Counts_Abnormal,0.8659240098473269,0.011983938141584716,True,True,True,True,True,5
Age_WBC_Interaction,0.7202762822221415,0.011678424642146634,True,True,True,True,True,5
Age,0.5864770774710679,0.019212268282836398,True,False,True,True,True,4
"Genetic_Data(BCR-ABL, FLT3)",0.8654601237648255,0.008767208672014082,True,True,True,True,False,4
Age_Platelet_Interaction,0.5342243680976834,0.005430725728661212,True,False,True,True,True,4
Positive_Tests_Count,2.081362784981842,0.0036933257708220424,True,True,True,True,False,4
WBC_Platelet_Ratio,1.1556527423032446,0.0,True,True,False,True,True,4
Negative_Tests_Count,0.8341881157858134,0.006351890836548524,True,True,True,True,False,4
Clinical_Risk_Score,1.422724817682351,0.0,True,True,False,True,True,4
Not_Done_Tests_Count,0.7352511623587399,0.015799902145186895,True,True,True,False,True,4
Test_Completion_Rate,0.7352511623589815,0.00258419936273091,True,True,True,False,False,3
Platelet Count(/cumm),0.3358200005384914,0.0,True,False,False,True,True,3
Bone Marrow Aspiration(Positive / Negative / Not Done),0.5009598541779924,0.0,True,False,False,True,True,3
Diagnosis_Result,0.18107148141064014,0.0,True,False,False,True,True,3
Lumbar Puncture(Spinal Tap),0.8256013574835926,0.019450113073807174,True,True,True,False,False,3
Log_WBC,1.1605404904166683,0.04397004821440165,True,True,True,False,False,3
Lymph Node Biopsy(Positive / Negative / Not Done),0.9882497427597821,0.0,True,True,False,False,False,2
Sqrt_Age,0.5622673477633755,0.0228874323655055,True,False,True,False,False,2
Age_Group,0.2726576721369674,0.018287156633877366,True,False,True,False,False,2
WBC_Category,1.819617783176043,0.0,True,True,False,False,False,2
WBC_Abnormal,0.18968492183080576,0.0,True,False,False,False,True,2
Platelet_Category,0.6535662080173356,0.02717061113183039,True,False,True,False,False,2
Platelet_Abnormal,0.6535662080173356,0.0,True,True,False,False,False,2
Log_Platelet,0.45796958722974457,0.0,True,False,False,False,False,1
